track_id,track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seg,genre,positividad
5lOFksI7IFX1g96ekSGBiU,Banda de Garage,Ciro y los Persas,34,0.45,0.874,4,-6.601,1,0.0592,0.0217,0.0336,0.96,0.332,137.299,291.139,0,0.2588605298829428
2U2zuUtilm9lk3zCA3fOnS,Desde Lejos No Se Ve,Ciro y los Persas,37,0.578,0.927,2,-6.397,0,0.0906,0.00609,0.0017,0.947,0.547,130.008,247.68,0,0.0
0OzoiPKjQfoipRLGQ4s8AD,Prometeo,Ciro y los Persas,22,0.416,0.888,11,-6.85,0,0.0512,0.0746,0.000414,0.884,0.484,161.921,249.815,0,0.0
4mwIJGOaajUdroCNy98LH4,Me Gusta,Ciro y los Persas,26,0.573,0.745,2,-7.279,1,0.0312,0.0156,0.00799,0.966,0.577,131.964,293.456,0,0.0
4RcDjycBOjdXrt11dT3lAD,Canción de Cuna,Ciro y los Persas,34,0.479,0.5,7,-9.225,1,0.0281,0.614,0.000498,0.963,0.208,143.791,328.286,0,0.0
5UyQKP5NzXitqLKbyp0CLf,Dientes de Cordero,Ciro y los Persas,24,0.513,0.686,9,-7.285,0,0.0299,0.0436,0.00288,0.746,0.248,143.939,289.672,0,0.0
5zJebV8cLdCeiIQAtaoKGZ,Por Cel,Ciro y los Persas,24,0.637,0.797,3,-5.773,1,0.0457,0.252,0.0,0.706,0.742,107.049,309.369,0,0.13342287316415982
2lCydSJvcZdJJ6hW2a2K5y,Dale Darling,Ciro y los Persas,21,0.558,0.801,4,-7.301,0,0.0491,0.203,0.0124,0.945,0.41,150.047,310.893,0,0.15197022287208342
4leJZ8hEr2cGDc3nIv8jfA,Pistolas,Ciro y los Persas,37,0.4,0.843,5,-7.325,1,0.139,0.247,0.00297,0.959,0.332,133.195,323.696,0,0.0
3PwUkiE5qZqIqxTlTJhU7s,Todos Igual,Ciro y los Persas,20,0.618,0.866,9,-6.237,1,0.0986,0.352,0.0,0.727,0.369,89.003,316.997,0,0.0
1AbRzxv3qNfA2FAz7YImMq,Ando Ganas (Llora Llora),Ciro y los Persas,23,0.645,0.632,0,-7.468,1,0.0263,0.333,0.00115,0.391,0.581,132.889,324.334,0,0.0
6GyvWDAdfg2gzi0BMS48UK,Verano del 92,Ciro y los Persas,33,0.415,0.851,2,-9.126,1,0.0972,0.176,0.00162,0.872,0.515,97.934,261.84,0,0.0
3d78ccpzeEyR0JehBKkSeG,Luz de Marfil,Ciro y los Persas,32,0.288,0.8,9,-6.443,1,0.056,0.0315,0.000266,0.634,0.25,131.892,298.462,0,0.13002671647225425
5DJSVdw7qsSJtuh4YfmqXT,Ciudad Animal,Ciro y los Persas,20,0.471,0.771,2,-6.939,1,0.0509,0.376,0.00299,0.72,0.497,137.488,317.977,0,0.0
51udgXvhgt7foEEU26KDzg,Antes y Después,Ciro y los Persas,30,0.375,0.73,9,-8.769,1,0.0328,0.00145,0.177,0.81,0.333,77.035,369.591,0,0.0
4tZoSMnzdNw5JHQige0VfL,Dice,Ciro y los Persas,24,0.613,0.815,0,-7.159,1,0.0284,0.145,0.00616,0.694,0.57,121.982,288.16,0,0.0
1FXVBXt6TNRvaIeXorGC8q,Similar,Ciro y los Persas,20,0.486,0.831,11,-6.426,0,0.0456,0.0365,0.0961,0.617,0.377,155.063,196.434,0,0.3232305179881978
54lqRxSpBrNxKH81Cj8sMU,El Farolito / El Balneario de los Doctores Crotos / Muévelo,Ciro y los Persas,22,0.566,0.83,0,-6.584,1,0.0772,0.329,0.00138,0.616,0.47,148.06,842.19,0,0.1694524947811811
5HJPcpFYsXuWXbT28PlQLO,Astros,Ciro y los Persas,24,0.555,0.713,9,-8.3,0,0.0325,0.206,0.159,0.516,0.373,147.964,280.53,0,0.0
0nDBn80uF4OLFJLXH24ScH,Intro de Himno Nacional,Ciro y los Persas,17,0.237,0.713,0,-15.9,1,0.43,0.894,0.906,0.885,0.225,70.904,119.973,0,0.0
4b3dtQCGslU3kbl81QWhyN,Prometeo,Ciro y los Persas,38,0.494,0.848,9,-5.746,1,0.0377,0.0254,2.42e-05,0.0778,0.455,161.925,267.294,0,0.0
1yyI2PZyzvWNt3TN5sZme3,Dale Darling,Ciro y los Persas,27,0.636,0.87,11,-5.532,0,0.0493,0.0895,0.000183,0.126,0.755,149.962,304.827,0,0.0
7FLz7DCQe8HYb6K0WdHRiO,Dice,Ciro y los Persas,44,0.651,0.757,0,-5.922,1,0.026,0.0579,2.2e-06,0.286,0.712,122.025,283.648,0,0.0
4Ox7ywy9C6Nr0kuIT0XfGK,Plan,Ciro y los Persas,31,0.568,0.744,9,-6.77,1,0.0353,0.000807,0.0485,0.105,0.474,153.971,263.595,0,0.16801040169071763
5XDtK0bZ3yKtRMbmnSwQ0j,Simple,Ciro y los Persas,33,0.733,0.895,9,-4.922,1,0.0308,0.205,0.000301,0.0939,0.77,126.019,254.08,0,0.0
73mLhAcX3ENtjPS1zpJYLJ,Estela,Ciro y los Persas,20,0.711,0.689,7,-5.446,1,0.0322,0.447,0.0,0.118,0.693,123.888,246.229,0,0.0
2iHxTjdshamYHY7ZDW1srS,Nena,Ciro y los Persas,28,0.583,0.659,2,-5.677,1,0.0473,0.735,0.0,0.115,0.28,148.025,247.567,0,0.13080880641599593
4BEm3XmwGCobItYNk9lTIz,Un Hombre Más,Ciro y los Persas,22,0.451,0.619,5,-7.041,1,0.0337,0.356,0.0,0.0903,0.321,166.078,301.169,0,0.0
2bZgphV8dH78RbFuDsivyn,Dulce,Ciro y los Persas,21,0.752,0.559,9,-6.72,1,0.146,0.65,2.07e-05,0.136,0.525,93.976,252.544,0,0.0
3K2JogTLIIthEsUp1bgPFS,Por Cel,Ciro y los Persas,39,0.721,0.776,3,-5.487,1,0.0395,0.323,2.39e-06,0.0382,0.815,105.01,292.481,0,0.13342287316415982
7xbVPek6X7x1U8SuKkvPuz,Todos Igual,Ciro y los Persas,20,0.465,0.878,11,-5.993,0,0.0802,0.244,1.62e-06,0.0919,0.705,88.106,321.157,0,0.0
5drpThSxHXBRDiD7uJYT7C,Toaster (Give Me Back My),Ciro y los Persas,39,0.839,0.797,9,-5.565,0,0.0808,0.16,0.0,0.0727,0.887,119.049,241.915,0,0.0
3mXb0TVdYJAshua5bRqvuG,Amor Prohibido,Ciro y los Persas,36,0.619,0.651,2,-5.677,1,0.0452,0.038,0.0,0.137,0.364,90.004,262.064,0,0.0
3nLL7rb00qmExkNTyJJqSv,Luz,Ciro y los Persas,53,0.421,0.579,0,-6.741,1,0.0339,0.108,7.12e-06,0.118,0.233,159.861,271.332,0,0.0
6zEgStTIh3O2R28nudbLMk,Juira!,Ciro y los Persas,42,0.78,0.732,0,-5.374,1,0.0442,0.121,0.0,0.0407,0.826,111.977,280.602,0,0.0
