track_id,track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seg,genre,positividad
7BrG1krgzkAKB2IdETTIBJ,ENHORABUENA - Vivo Kempes 2023,La Mona Jimenez,12,0.508,0.583,7,-14.096,1,0.158,0.0385,0.0,0.772,0.679,154.123,209.55,0,0.3397371665543586
7EkhUi3AugpWfJeycQTMly,CON TU MODO DE AMAR - Vivo Kempes 2023,La Mona Jimenez,12,0.595,0.442,9,-14.304,1,0.03,0.201,0.0,0.0555,0.577,89.015,214.648,0,0.3397371665543586
2oY8okyjs1qus807vtte1K,AMOR SECRETO - Vivo Kempes 2023,La Mona Jimenez,11,0.293,0.496,0,-14.366,0,0.0776,0.208,0.0,0.506,0.154,154.26,214.756,0,0.1671907385070091
0iQn3MnBZ851izU5pHcPzB,LIBERTAD - Vivo Kempes 2023,La Mona Jimenez,12,0.432,0.62,7,-13.235,1,0.118,0.0573,0.0,0.38,0.559,152.784,230.094,0,0.3397371665543586
6Sr5epDDyLqEghtdhtk5fG,LA MONA ES UN MUCHACHO DE BARRIO - Vivo Kempes 2023,La Mona Jimenez,11,0.465,0.675,4,-15.326,0,0.101,0.0828,0.00212,0.497,0.481,154.116,373.758,0,0.3489792304816481
3HYaItmQJTbof5R4Iet5fR,HICISTE DE MI - Vivo Kempes 2023,La Mona Jimenez,12,0.378,0.548,7,-15.427,1,0.0537,0.0541,0.0,0.786,0.204,155.324,281.028,0,0.3397371665543586
1NxNqJC4KhX7gaievXfbM4,LA REINA DE LA MENTIRA - Vivo Kempes 2023,La Mona Jimenez,11,0.444,0.528,9,-15.567,0,0.129,0.0591,0.0,0.669,0.231,152.933,257.876,0,0.3397371665543586
0u3jb58veXrtJ8uIF5cl9T,TINTA CHINA - Vivo Kempes 2023,La Mona Jimenez,12,0.415,0.626,4,-14.912,0,0.0737,0.0175,2.64e-06,0.607,0.509,153.662,247.515,0,0.2424578744641967
21ogMuJFWFjxBUJwGkMduX,APRIETAME - Vivo Kempes 2023,La Mona Jimenez,11,0.52,0.614,0,-14.599,1,0.116,0.044,0.0,0.927,0.637,152.16,231.862,0,0.3052476367617354
5M4vohmT44VxTER2IDubSH,LUIS - Vivo Kempes 2023,La Mona Jimenez,12,0.323,0.588,0,-14.195,1,0.0455,0.0523,0.0,0.67,0.509,146.665,256.732,0,0.3397371665543586
1cYHtiGwWpVR05mPkEdkKZ,SI HE SIDO INFIEL - Vivo Kempes 2023,La Mona Jimenez,12,0.448,0.62,7,-15.357,0,0.109,0.013,0.0,0.29,0.614,152.598,297.165,0,0.3397371665543586
66xAAllECSNWCsUuAFphLg,EL MARGINAL - Vivo Kempes 2023,La Mona Jimenez,10,0.378,0.556,7,-15.174,0,0.0842,0.0764,0.0,0.166,0.554,151.952,256.515,0,0.0704971552175439
1mec6nbQ9TpIbiwQD7jISJ,QUE TAL PASCUAL - Vivo Kempes 2023,La Mona Jimenez,9,0.433,0.658,4,-14.455,0,0.111,0.0177,0.0,0.389,0.48,152.498,283.989,0,0.1159392890170096
4suKuNdFOM3sozxUnrK1Ub,"DIA 2 VUELVO A VIVIR, VUELVO A CANTAR - Vivo Kempes 2023",La Mona Jimenez,9,0.321,0.56,4,-14.453,0,0.0578,0.0106,0.0,0.959,0.616,136.749,120.493,0,0.1985786201320825
5uAxn42RdQzqiqWKInAZM2,ATREVETE - En Vivo,La Mona Jimenez,12,0.435,0.567,4,-13.536,0,0.0424,0.336,0.000287,0.861,0.502,154.03,201.131,0,0.3397371665543586
5EdXzZZyCs6GmuBHdrHFAJ,ENHORABUENA - En Vivo,La Mona Jimenez,12,0.453,0.603,7,-10.669,1,0.0672,0.189,1.73e-05,0.537,0.765,151.777,213.952,0,0.3397371665543586
